0.3,0.5348214285714286,1.0,1.0,454.0,41.0,0.17139559457860168,0.18246993131903616,0.01107433674043448,0.3289358235235331,0.32943575322091945,0.000499929697386305, 23
0.3,0.5348214285714287,1.0,1.0,453.0,41.0,0.15578847356365555,0.16621714105729452,0.010428667493638964,0.31841318145387987,0.3189287339543095,0.0005155525004296271, 23
0.3,0.5348214285714286,1.0,1.0,449.0,41.0,0.16443127321704715,0.1755921472673391,0.011160874050291944,0.3448970462384937,0.34549071275413995,0.0005936665156462373, 23
0.4,0.5348214285714286,1.0,1.0,455.0,41.0,0.11536652069945531,0.12665667665667665,0.011290155957221345,0.27151326666562126,0.2724366276997856,0.0009233610341643582, 19
0.4,0.5348214285714286,1.0,1.0,446.0,41.0,0.12119922680171985,0.13230642856681635,0.011107201765096497,0.2666707407704638,0.26759410180462817,0.0009233610341643582, 19
0.4,0.5348214285714286,1.0,1.0,420.0,41.0,0.12911635936673524,0.13931002730022335,0.010193667933488122,0.2407171580181961,0.24191327916818114,0.0011961211499850483, 18
0.5,0.5348214285714287,1.0,1.0,408.0,41.0,0.13586937494924506,0.14753282828282827,0.011663453333583203,0.23902212602212602,0.24092688792688793,0.0019047619047619048, 15
0.5,0.5348214285714287,1.0,1.0,386.0,41.0,0.14217223689858532,0.1521363387252134,0.009964101826628083,0.2476821523177022,0.24907104120659107,0.0013888888888888887, 16
0.5,0.5348214285714286,1.0,1.0,414.0,41.0,0.11829110394900683,0.12920829650933457,0.010917192560327754,0.2518135351288466,0.25294891575168393,0.0011353806228373703, 17
0.6,0.5397186147186147,1.0,1.3333333333333333,376.0,41.0,0.07335243935943159,0.0826316547437237,0.009279215384292123,0.20176549127176086,0.20497944903117316,0.003213957759412305, 12
0.6,0.531756338899196,1.0,1.1428571428571428,391.0,41.0,0.12516180717767367,0.1340314749658674,0.00886966778819372,0.21559663554747416,0.21837407788535607,0.002777442337881898, 14
0.6,0.5380952380952381,1.0,1.1428571428571428,392.0,41.0,0.09359448300200879,0.10369415365995012,0.010099670657941333,0.2267612492057557,0.22971982908741248,0.002958579881656805, 13
0.7,0.535218253968254,1.0,1.3333333333333333,375.0,41.0,0.09024574612091055,0.09857466604976363,0.008328919928853084,0.2416731073224973,0.2448870650819096,0.003213957759412305, 12
0.7,0.5441666666666667,1.0,1.6,342.0,41.0,0.06763848108038091,0.07470252954520688,0.007064048464825978,0.21632461198510705,0.21996097562147068,0.0036363636363636364, 11
0.7,0.5348214285714286,1.0,1.0,389.0,41.0,0.07865428392929091,0.08841516681630503,0.009760882887014108,0.21835187537723447,0.22163918635685315,0.0032873109796186717, 13
0.8,0.535218253968254,1.0,1.3333333333333333,375.0,41.0,0.09024574612091055,0.09857466604976363,0.008328919928853084,0.2416731073224973,0.2448870650819096,0.003213957759412305, 12
0.8,0.536590909090909,1.0,1.6,356.0,41.0,0.06808784645599657,0.07516581767453658,0.00707797121854001,0.21605277540408901,0.21935856052805597,0.003305785123966942, 11
0.8,0.5352673796791445,0.9949579831932773,1.6,327.0,41.0,0.06493780884715783,0.07268811686660656,0.0077503080194487334,0.19930725584272496,0.20523318176865088,0.005925925925925926, 10
0.9,0.5429112554112554,0.9959183673469387,2.0,322.0,41.0,0.07962910447744954,0.08648563979748389,0.006856535320034341,0.1833139343304261,0.189239860256352,0.005925925925925926, 10
0.9,0.5323232323232324,1.0,1.3333333333333333,320.0,41.0,0.06931284813180083,0.07638684800678804,0.007073999874987203,0.20054309741566112,0.20646902334158704,0.005925925925925926, 10
0.9,0.5323232323232324,1.0,1.3333333333333333,319.0,41.0,0.06600781053906997,0.07331974055229869,0.007311930013228715,0.20301672487718997,0.2089426508031159,0.005925925925925926, 10
1.0,0.5392207792207793,1.0,1.6,288.0,41.0,0.06303518837378397,0.06868431711426881,0.005649128740484848,0.19923435660150635,0.2069504059842224,0.00771604938271605, 9
1.0,0.5392207792207792,1.0,1.6,286.0,41.0,0.05985999387022778,0.0655533896469569,0.005693395776729112,0.2017830935667193,0.20949914294943536,0.00771604938271605, 9
1.0,0.544625350140056,0.9936974789915967,2.0,284.0,41.0,0.07444702076844932,0.07967933301266633,0.005232312244217006,0.1775674267340934,0.18451187117853785,0.006944444444444444, 9
